local;type;surface;nb_piece;prix
Marsa;Appartement;220;3;"4 000 TND
					"
Marsa;Appartement;200;2;"5 000 TND
					"
Marsa;Appartement;130;2;"1 500 TND
					"
Marsa;Appartement;133;2;"1 800 TND
					"
Marsa;Appartement;148;2;"2 200 TND
					"
Marsa;Appartement;86;1;"2 500 TND
					"
Marsa;Appartement;190;4;"1 500 TND
					"
Marsa;Appartement;60;1;"2 000 TND
					"
Marsa;Appartement;180;3;"3 500 TND
					"
Marsa;Appartement;170;3;"2 500 TND
					"
Lif;Appartement;70;1;"550 TND
					"
Marsa;Appartement;220;4;"5 000 TND
					"
Marsa;Appartement;180;3;"2 900 TND
					"
Marsa;Appartement;100;1;"1 030 TND
					"
Kram;Appartement;224;3;"2 700 TND
					"
Kram;Appartement;85;1;"1 100 TND
					"
Marsa;Appartement;90;1;"1 600 TND
					"
Marsa;Appartement;125;2;"3 500 TND
					"
Ville;Appartement;70;1;"850 TND
					"
Sousse;Appartement;120;3;"1 500 TND
					"
Marsa;Appartement;100;3;"1 200 TND
					"
Akouda;Appartement;120;2;"1 300 TND
					"
Marsa;Appartement;200;3;"1 300 TND
					"
Marsa;Appartement;210;3;"3 000 TND
					"
Marsa;Appartement;160;3;"1 600 TND
					"
Kram;Appartement;180;3;"1 800 TND
					"
Marsa;Appartement;140;2;"2 500 TND
					"
Marsa;Appartement;140;3;"1 200 TND
					"
Marsa;Appartement;128;2;"1 300 TND
					"
Marsa;Appartement;90;1;"
	    					Prix à consulter
	    				
					"
Marsa;Appartement;86;1;"3 000 TND
					"
Marsa;Appartement;70;1;"1 000 TND
					"
Kram;Appartement;70;1;"1 400 TND
					"
