local;type;surface;nb_piece;prix
Ville;Maison;95;95;"420 TND
					"
Marsa;Maison;400;4;"6 000 TND
					"
Hammamet;Maison;150;2;"850 TND
					"
Haouaria;Maison;120;2;"120 TND
					"
Carthage;Maison;120;3;"2 100 TND
					"
Bassatine;Maison;150;3;"750 TND
					"
Nord;Maison;100;4;"530 TND
					"
Châabane;Maison;130;3;"
	    					Prix à consulter
	    				
					"
Nabeul;Maison;120;3;"600 TND
					"
Marsa;Maison;100;1;"1 500 TND
					"
Sousse;Maison;120;2;"950 TND
					"
Marsa;Maison;100;2;"2 700 TND
					"
Marsa;Maison;220;4;"4 000 TND
					"
Djerba;Maison;1000;3;"2 500 TND
					"
Marsa;Maison;174;3;"1 700 TND
					"
Akouda;Maison;150;150;"1 000 TND
					"
Marsa;Maison;170;3;"4 800 TND
					"
Soukra;Maison;70;2;"
	    					Prix à consulter
	    				
					"
Carthage;Maison;120;1;"5 000 TND
					"
Marsa;Maison;300;4;"3 000 TND
					"
Hammamet;Maison;372;372;"1 500 TND
					"
Marsa;Maison;120;4;"4 000 TND
					"
Carthage;Maison;500;6;"6 500 TND
					"
Menzah;Maison;350;350;"3 000 TND
					"
Khezama;Maison;120;2;"650 TND
					"
Marsa;Maison;200;4;"980 TND
					"
Souk;Maison;130;3;"700 TND
					"
Ville;Maison;250;3;"1 700 TND
					"
Nord;Maison;120;4;"550 TND
					"
Midoun;Maison;600;2;"600 TND
					"
Carthage;Maison;75;75;"1 500 TND
					"
Ville;Maison;154;1;"1 500 TND
					"
Marsa;Maison;130;3;"1 200 TND
					"
