local;type;surface;nb_piece;prix
Marsa;Appartement;200;3;"2 200 TND
					"
Marsa;Appartement;120;2;"6 300 TND
					"
Marsa;Appartement;160;4;"1 200 TND
					"
Kram;Appartement;120;3;"1 500 TND
					"
Jemil;Appartement;2;2;"
	    					Prix à consulter
	    				
					"
Marsa;Appartement;100;2;"1 300 TND
					"
Marsa;Appartement;2;2;"3 200 TND
					"
Carthage;Appartement;160;3;"3 500 TND
					"
Marsa;Appartement;100;2;"2 400 TND
					"
Jaouhara;Appartement;170;2;"
	    					Prix à consulter
	    				
					"
Marsa;Appartement;1;1;"1 600 TND
					"
Kram;Appartement;80;1;"1 200 TND
					"
Mourouj;Appartement;120;2;"850 TND
					"
Marsa;Appartement;70;1;"1 350 TND
					"
Soukra;Appartement;120;2;"1 350 TND
					"
Akouda;Appartement;100;3;"1 200 TND
					"
Sousse;Appartement;117;2;"1 200 TND
					"
Sousse;Appartement;100;1;"500 TND
					"
Marsa;Appartement;180;5;"2 200 TND
					"
Marsa;Appartement;75;1;"1 580 TND
					"
Hammamet;Appartement;120;2;"900 TND
					"
Marsa;Appartement;150;3;"2 200 TND
					"
Sousse;Appartement;65;1;"1 000 TND
					"
Djerba;Appartement;80;1;"750 TND
					"
Hammamet;Appartement;180;3;"850 TND
					"
Ville;Appartement;100;3;"1 100 TND
					"
Marsa;Appartement;250;3;"3 700 TND
					"
Sousse;Appartement;80;2;"1 500 TND
					"
Hammamet;Appartement;90;2;"900 TND
					"
Soukra;Appartement;150;2;"850 TND
					"
Marsa;Appartement;250;3;"4 000 TND
					"
Marsa;Appartement;50;1;"2 200 TND
					"
Marsa;Appartement;170;3;"2 500 TND
					"
